列番号(0始まり),楽天CSV列名,使用状況,区分(A-E),データ元,生成方法,備考,実データ例(先頭50文字)
233,在庫あり時出荷リードタイム,使用,C,設定・固定値マスター,固定値,倉庫・納期設定(枚方倉庫等),14時までの注文で当日出荷（対象地域のみ）
234,在庫切れ時出荷リードタイム,使用,C,設定・固定値マスター,固定値,倉庫・納期設定(枚方倉庫等),【予約商品】大好評につき完売。次回9月中旬～9月下旬発送
235,配送リードタイム,使用,C,設定・固定値マスター,固定値,倉庫・納期設定(枚方倉庫等),RSL(枚方倉庫)
236,SKU倉庫指定,使用,C,設定・固定値マスター,固定値,,0
237,配送方法セット管理番号,使用,C,設定・固定値マスター,固定値,,1
238,送料,使用,C,設定・固定値マスター,固定値,,1
239,送料区分1,未使用(全行空欄),-,-,-,-,
240,送料区分2,未使用(全行空欄),-,-,-,-,
241,個別送料,未使用(全行空欄),-,-,-,-,
242,地域別個別送料管理番号,未使用(全行空欄),-,-,-,-,
243,単品配送設定使用,使用,C,設定・固定値マスター,固定値,,0
244,置き配指定,使用,C,設定・固定値マスター,固定値,,1
245,カタログID,使用,A,商品マスター:識別コード,参照(JANコード),,4571679694167
246,カタログIDなしの理由,未使用(全行空欄),-,-,-,-,
247,セット商品用カタログID,未使用(全行空欄),-,-,-,-,
248,SKU画像タイプ,使用,C,設定・固定値マスター,"固定値 ""CABINET""",,CABINET
249,SKU画像パス,使用,B,規則生成+画像実体確認,カタログID(JAN)ベースでパス生成,実ファイル確認が必要,/sku2/4571679694167.jpg
250,SKU画像名（ALT）,未使用(全行空欄),-,-,-,-,
251,商品属性（項目）1,使用,C,設定・固定値マスター,固定値(属性項目名),商品カテゴリ(ジャンル)に紐づく固定リスト,ブランド名
252,商品属性（値）1,使用,C,設定・固定値マスター,固定値,形状・素材・耐衝撃等、商品タイプ共通の属性値,-
253,商品属性（単位）1,未使用(全行空欄),-,-,-,-,
254,商品属性（項目）2,使用,C,設定・固定値マスター,固定値(属性項目名),商品カテゴリ(ジャンル)に紐づく固定リスト,メーカー型番
255,商品属性（値）2,使用,B,商品マスターから導出,2:型番=商品コード / 3・4:カラーコード→対応表,,f-bic-prt-01We2-01IVY
256,商品属性（単位）2,未使用(全行空欄),-,-,-,-,
257,商品属性（項目）3,使用,C,設定・固定値マスター,固定値(属性項目名),商品カテゴリ(ジャンル)に紐づく固定リスト,代表カラー
258,商品属性（値）3,使用,B,商品マスターから導出,2:型番=商品コード / 3・4:カラーコード→対応表,,ホワイト
259,商品属性（単位）3,未使用(全行空欄),-,-,-,-,
260,商品属性（項目）4,使用,C,設定・固定値マスター,固定値(属性項目名),商品カテゴリ(ジャンル)に紐づく固定リスト,カラー
261,商品属性（値）4,使用,B,商品マスターから導出,2:型番=商品コード / 3・4:カラーコード→対応表,,ペールピンク
262,商品属性（単位）4,未使用(全行空欄),-,-,-,-,
263,商品属性（項目）5,使用,C,設定・固定値マスター,固定値(属性項目名),商品カテゴリ(ジャンル)に紐づく固定リスト,スマホ・タブレットケースの形状
264,商品属性（値）5,使用,C,設定・固定値マスター,固定値,形状・素材・耐衝撃等、商品タイプ共通の属性値,シェル
265,商品属性（単位）5,未使用(全行空欄),-,-,-,-,
266,商品属性（項目）6,使用,C,設定・固定値マスター,固定値(属性項目名),商品カテゴリ(ジャンル)に紐づく固定リスト,スマホ・タブレットケースの素材
267,商品属性（値）6,使用,C,設定・固定値マスター,固定値,形状・素材・耐衝撃等、商品タイプ共通の属性値,シリコン
268,商品属性（単位）6,未使用(全行空欄),-,-,-,-,
269,商品属性（項目）7,使用,C,設定・固定値マスター,固定値(属性項目名),商品カテゴリ(ジャンル)に紐づく固定リスト,個数
270,商品属性（値）7,使用,C,設定・固定値マスター,固定値,形状・素材・耐衝撃等、商品タイプ共通の属性値,1
271,商品属性（単位）7,未使用(全行空欄),-,-,-,-,
272,商品属性（項目）8,使用,C,設定・固定値マスター,固定値(属性項目名),商品カテゴリ(ジャンル)に紐づく固定リスト,機種・対応機種（スマートフォン）
273,商品属性（値）8,使用,C,設定・固定値マスター,固定値,形状・素材・耐衝撃等、商品タイプ共通の属性値,arrows We
274,商品属性（単位）8,未使用(全行空欄),-,-,-,-,
275,商品属性（項目）9,使用,C,設定・固定値マスター,固定値(属性項目名),商品カテゴリ(ジャンル)に紐づく固定リスト,機種・対応機種（携帯電話）
276,商品属性（値）9,使用,C,設定・固定値マスター,固定値,形状・素材・耐衝撃等、商品タイプ共通の属性値,arrows ケータイ
277,商品属性（単位）9,未使用(全行空欄),-,-,-,-,
278,商品属性（項目）10,使用,C,設定・固定値マスター,固定値(属性項目名),商品カテゴリ(ジャンル)に紐づく固定リスト,防滴・防水機能
279,商品属性（値）10,使用,C,設定・固定値マスター,固定値,形状・素材・耐衝撃等、商品タイプ共通の属性値,無
280,商品属性（単位）10,未使用(全行空欄),-,-,-,-,
281,商品属性（項目）11,使用,C,設定・固定値マスター,固定値(属性項目名),商品カテゴリ(ジャンル)に紐づく固定リスト,耐衝撃
282,商品属性（値）11,使用,C,設定・固定値マスター,固定値,形状・素材・耐衝撃等、商品タイプ共通の属性値,有
283,商品属性（単位）11,未使用(全行空欄),-,-,-,-,
284,商品属性（項目）12,使用,C,設定・固定値マスター,固定値(属性項目名),商品カテゴリ(ジャンル)に紐づく固定リスト,スタンド付き
285,商品属性（値）12,使用,C,設定・固定値マスター,固定値,形状・素材・耐衝撃等、商品タイプ共通の属性値,無
286,商品属性（単位）12,未使用(全行空欄),-,-,-,-,
287,商品属性（項目）13,使用,C,設定・固定値マスター,固定値(属性項目名),商品カテゴリ(ジャンル)に紐づく固定リスト,防塵
288,商品属性（値）13,使用,C,設定・固定値マスター,固定値,形状・素材・耐衝撃等、商品タイプ共通の属性値,無
289,商品属性（単位）13,未使用(全行空欄),-,-,-,-,
290,商品属性（項目）14,使用,C,設定・固定値マスター,固定値(属性項目名),商品カテゴリ(ジャンル)に紐づく固定リスト,ストラップ付き
291,商品属性（値）14,使用,C,設定・固定値マスター,固定値,形状・素材・耐衝撃等、商品タイプ共通の属性値,無
292,商品属性（単位）14,未使用(全行空欄),-,-,-,-,
293,商品属性（項目）15,使用,C,設定・固定値マスター,固定値(属性項目名),商品カテゴリ(ジャンル)に紐づく固定リスト,クリップ付き
294,商品属性（値）15,使用,C,設定・固定値マスター,固定値,形状・素材・耐衝撃等、商品タイプ共通の属性値,無
295,商品属性（単位）15,未使用(全行空欄),-,-,-,-,
296,商品属性（項目）16,使用,C,設定・固定値マスター,固定値(属性項目名),商品カテゴリ(ジャンル)に紐づく固定リスト,状態
297,商品属性（値）16,未使用(全行空欄),-,-,-,-,
298,商品属性（単位）16,未使用(全行空欄),-,-,-,-,
299,商品属性（項目）17,使用,C,設定・固定値マスター,固定値(属性項目名),商品カテゴリ(ジャンル)に紐づく固定リスト,中古状態
300,商品属性（値）17,未使用(全行空欄),-,-,-,-,
301,商品属性（単位）17,未使用(全行空欄),-,-,-,-,
302,商品属性（項目）18,使用,C,設定・固定値マスター,固定値(属性項目名),商品カテゴリ(ジャンル)に紐づく固定リスト,販売形態（並行輸入品）
303,商品属性（値）18,未使用(全行空欄),-,-,-,-,
304,商品属性（単位）18,未使用(全行空欄),-,-,-,-,
305,商品属性（項目）19,使用,C,設定・固定値マスター,固定値(属性項目名),商品カテゴリ(ジャンル)に紐づく固定リスト,販売形態（訳あり）
306,商品属性（値）19,未使用(全行空欄),-,-,-,-,
307,商品属性（単位）19,未使用(全行空欄),-,-,-,-,
308,商品属性（項目）20,使用,C,設定・固定値マスター,固定値(属性項目名),商品カテゴリ(ジャンル)に紐づく固定リスト,カードホルダー
309,商品属性（値）20,使用,C,設定・固定値マスター,固定値,形状・素材・耐衝撃等、商品タイプ共通の属性値,無
310,商品属性（単位）20,未使用(全行空欄),-,-,-,-,
311,商品属性（項目）21,使用,C,設定・固定値マスター,固定値(属性項目名),商品カテゴリ(ジャンル)に紐づく固定リスト,ストラップホール付き
312,商品属性（値）21,使用,C,設定・固定値マスター,固定値,形状・素材・耐衝撃等、商品タイプ共通の属性値,有
313,商品属性（単位）21,未使用(全行空欄),-,-,-,-,
314,商品属性（項目）22,使用,C,設定・固定値マスター,固定値(属性項目名),商品カテゴリ(ジャンル)に紐づく固定リスト,ミラー付き
315,商品属性（値）22,使用,C,設定・固定値マスター,固定値,形状・素材・耐衝撃等、商品タイプ共通の属性値,無
316,商品属性（単位）22,未使用(全行空欄),-,-,-,-,
317,商品属性（項目）23,使用,C,設定・固定値マスター,固定値(属性項目名),商品カテゴリ(ジャンル)に紐づく固定リスト,リング付き
318,商品属性（値）23,使用,C,設定・固定値マスター,固定値,形状・素材・耐衝撃等、商品タイプ共通の属性値,無
319,商品属性（単位）23,未使用(全行空欄),-,-,-,-,
320,商品属性（項目）24,使用,C,設定・固定値マスター,固定値(属性項目名),商品カテゴリ(ジャンル)に紐づく固定リスト,電磁波防止機能
321,商品属性（値）24,使用,C,設定・固定値マスター,固定値,形状・素材・耐衝撃等、商品タイプ共通の属性値,無
322,商品属性（単位）24,未使用(全行空欄),-,-,-,-,
323,商品属性（項目）25,使用,C,設定・固定値マスター,固定値(属性項目名),商品カテゴリ(ジャンル)に紐づく固定リスト,ブランド名（カナ）
324,商品属性（値）25,未使用(全行空欄),-,-,-,-,
325,商品属性（単位）25,未使用(全行空欄),-,-,-,-,
326,商品属性（項目）26,未使用(全行空欄),-,-,-,-,
327,商品属性（値）26,未使用(全行空欄),-,-,-,-,
328,商品属性（単位）26,未使用(全行空欄),-,-,-,-,
329,商品属性（項目）27,未使用(全行空欄),-,-,-,-,
330,商品属性（値）27,未使用(全行空欄),-,-,-,-,
331,商品属性（単位）27,未使用(全行空欄),-,-,-,-,
332,商品属性（項目）28,未使用(全行空欄),-,-,-,-,
333,商品属性（値）28,未使用(全行空欄),-,-,-,-,
334,商品属性（単位）28,未使用(全行空欄),-,-,-,-,
335,商品属性（項目）29,未使用(全行空欄),-,-,-,-,
336,商品属性（値）29,未使用(全行空欄),-,-,-,-,
337,商品属性（単位）29,未使用(全行空欄),-,-,-,-,
338,商品属性（項目）30,未使用(全行空欄),-,-,-,-,
339,商品属性（値）30,未使用(全行空欄),-,-,-,-,
340,商品属性（単位）30,未使用(全行空欄),-,-,-,-,
341,商品属性（項目）31,未使用(全行空欄),-,-,-,-,
342,商品属性（値）31,未使用(全行空欄),-,-,-,-,
343,商品属性（単位）31,未使用(全行空欄),-,-,-,-,
344,商品属性（項目）32,未使用(全行空欄),-,-,-,-,
345,商品属性（値）32,未使用(全行空欄),-,-,-,-,
346,商品属性（単位）32,未使用(全行空欄),-,-,-,-,
347,商品属性（項目）33,未使用(全行空欄),-,-,-,-,
348,商品属性（値）33,未使用(全行空欄),-,-,-,-,
349,商品属性（単位）33,未使用(全行空欄),-,-,-,-,
350,商品属性（項目）34,未使用(全行空欄),-,-,-,-,
351,商品属性（値）34,未使用(全行空欄),-,-,-,-,
352,商品属性（単位）34,未使用(全行空欄),-,-,-,-,
353,商品属性（項目）35,未使用(全行空欄),-,-,-,-,
354,商品属性（値）35,未使用(全行空欄),-,-,-,-,
355,商品属性（単位）35,未使用(全行空欄),-,-,-,-,
356,商品属性（項目）36,未使用(全行空欄),-,-,-,-,
357,商品属性（値）36,未使用(全行空欄),-,-,-,-,
358,商品属性（単位）36,未使用(全行空欄),-,-,-,-,
359,商品属性（項目）37,未使用(全行空欄),-,-,-,-,
360,商品属性（値）37,未使用(全行空欄),-,-,-,-,
361,商品属性（単位）37,未使用(全行空欄),-,-,-,-,
362,商品属性（項目）38,未使用(全行空欄),-,-,-,-,
363,商品属性（値）38,未使用(全行空欄),-,-,-,-,
364,商品属性（単位）38,未使用(全行空欄),-,-,-,-,
365,商品属性（項目）39,未使用(全行空欄),-,-,-,-,
366,商品属性（値）39,未使用(全行空欄),-,-,-,-,
367,商品属性（単位）39,未使用(全行空欄),-,-,-,-,
368,商品属性（項目）40,未使用(全行空欄),-,-,-,-,
369,商品属性（値）40,未使用(全行空欄),-,-,-,-,
370,商品属性（単位）40,未使用(全行空欄),-,-,-,-,
371,商品属性（項目）41,未使用(全行空欄),-,-,-,-,
372,商品属性（値）41,未使用(全行空欄),-,-,-,-,
373,商品属性（単位）41,未使用(全行空欄),-,-,-,-,
374,商品属性（項目）42,未使用(全行空欄),-,-,-,-,
375,商品属性（値）42,未使用(全行空欄),-,-,-,-,
376,商品属性（単位）42,未使用(全行空欄),-,-,-,-,
377,商品属性（項目）43,未使用(全行空欄),-,-,-,-,
378,商品属性（値）43,未使用(全行空欄),-,-,-,-,
379,商品属性（単位）43,未使用(全行空欄),-,-,-,-,
380,商品属性（項目）44,未使用(全行空欄),-,-,-,-,
381,商品属性（値）44,未使用(全行空欄),-,-,-,-,
382,商品属性（単位）44,未使用(全行空欄),-,-,-,-,
383,商品属性（項目）45,未使用(全行空欄),-,-,-,-,
384,商品属性（値）45,未使用(全行空欄),-,-,-,-,
385,商品属性（単位）45,未使用(全行空欄),-,-,-,-,
386,商品属性（項目）46,未使用(全行空欄),-,-,-,-,
387,商品属性（値）46,未使用(全行空欄),-,-,-,-,
388,商品属性（単位）46,未使用(全行空欄),-,-,-,-,
389,商品属性（項目）47,未使用(全行空欄),-,-,-,-,
390,商品属性（値）47,未使用(全行空欄),-,-,-,-,
391,商品属性（単位）47,未使用(全行空欄),-,-,-,-,
392,商品属性（項目）48,未使用(全行空欄),-,-,-,-,
393,商品属性（値）48,未使用(全行空欄),-,-,-,-,
394,商品属性（単位）48,未使用(全行空欄),-,-,-,-,
395,商品属性（項目）49,未使用(全行空欄),-,-,-,-,
396,商品属性（値）49,未使用(全行空欄),-,-,-,-,
397,商品属性（単位）49,未使用(全行空欄),-,-,-,-,
398,商品属性（項目）50,未使用(全行空欄),-,-,-,-,
399,商品属性（値）50,未使用(全行空欄),-,-,-,-,
400,商品属性（単位）50,未使用(全行空欄),-,-,-,-,
401,商品属性（項目）51,未使用(全行空欄),-,-,-,-,
402,商品属性（値）51,未使用(全行空欄),-,-,-,-,
403,商品属性（単位）51,未使用(全行空欄),-,-,-,-,
404,商品属性（項目）52,未使用(全行空欄),-,-,-,-,
405,商品属性（値）52,未使用(全行空欄),-,-,-,-,
406,商品属性（単位）52,未使用(全行空欄),-,-,-,-,
407,商品属性（項目）53,未使用(全行空欄),-,-,-,-,
408,商品属性（値）53,未使用(全行空欄),-,-,-,-,
409,商品属性（単位）53,未使用(全行空欄),-,-,-,-,
410,商品属性（項目）54,未使用(全行空欄),-,-,-,-,
411,商品属性（値）54,未使用(全行空欄),-,-,-,-,
412,商品属性（単位）54,未使用(全行空欄),-,-,-,-,
413,商品属性（項目）55,未使用(全行空欄),-,-,-,-,
414,商品属性（値）55,未使用(全行空欄),-,-,-,-,
415,商品属性（単位）55,未使用(全行空欄),-,-,-,-,
416,商品属性（項目）56,未使用(全行空欄),-,-,-,-,
417,商品属性（値）56,未使用(全行空欄),-,-,-,-,
418,商品属性（単位）56,未使用(全行空欄),-,-,-,-,
419,商品属性（項目）57,未使用(全行空欄),-,-,-,-,
420,商品属性（値）57,未使用(全行空欄),-,-,-,-,
421,商品属性（単位）57,未使用(全行空欄),-,-,-,-,
422,商品属性（項目）58,未使用(全行空欄),-,-,-,-,
423,商品属性（値）58,未使用(全行空欄),-,-,-,-,
424,商品属性（単位）58,未使用(全行空欄),-,-,-,-,
425,商品属性（項目）59,未使用(全行空欄),-,-,-,-,
426,商品属性（値）59,未使用(全行空欄),-,-,-,-,
427,商品属性（単位）59,未使用(全行空欄),-,-,-,-,
428,商品属性（項目）60,未使用(全行空欄),-,-,-,-,
429,商品属性（値）60,未使用(全行空欄),-,-,-,-,
430,商品属性（単位）60,未使用(全行空欄),-,-,-,-,
431,商品属性（項目）61,未使用(全行空欄),-,-,-,-,
432,商品属性（値）61,未使用(全行空欄),-,-,-,-,
433,商品属性（単位）61,未使用(全行空欄),-,-,-,-,
434,商品属性（項目）62,未使用(全行空欄),-,-,-,-,
435,商品属性（値）62,未使用(全行空欄),-,-,-,-,
436,商品属性（単位）62,未使用(全行空欄),-,-,-,-,
437,商品属性（項目）63,未使用(全行空欄),-,-,-,-,
438,商品属性（値）63,未使用(全行空欄),-,-,-,-,
439,商品属性（単位）63,未使用(全行空欄),-,-,-,-,
440,商品属性（項目）64,未使用(全行空欄),-,-,-,-,
441,商品属性（値）64,未使用(全行空欄),-,-,-,-,
442,商品属性（単位）64,未使用(全行空欄),-,-,-,-,
443,商品属性（項目）65,未使用(全行空欄),-,-,-,-,
444,商品属性（値）65,未使用(全行空欄),-,-,-,-,
445,商品属性（単位）65,未使用(全行空欄),-,-,-,-,
446,商品属性（項目）66,未使用(全行空欄),-,-,-,-,
447,商品属性（値）66,未使用(全行空欄),-,-,-,-,
448,商品属性（単位）66,未使用(全行空欄),-,-,-,-,
449,商品属性（項目）67,未使用(全行空欄),-,-,-,-,
450,商品属性（値）67,未使用(全行空欄),-,-,-,-,
451,商品属性（単位）67,未使用(全行空欄),-,-,-,-,
452,商品属性（項目）68,未使用(全行空欄),-,-,-,-,
453,商品属性（値）68,未使用(全行空欄),-,-,-,-,
454,商品属性（単位）68,未使用(全行空欄),-,-,-,-,
455,商品属性（項目）69,未使用(全行空欄),-,-,-,-,
456,商品属性（値）69,未使用(全行空欄),-,-,-,-,
457,商品属性（単位）69,未使用(全行空欄),-,-,-,-,
458,商品属性（項目）70,未使用(全行空欄),-,-,-,-,
459,商品属性（値）70,未使用(全行空欄),-,-,-,-,
460,商品属性（単位）70,未使用(全行空欄),-,-,-,-,
461,商品属性（項目）71,未使用(全行空欄),-,-,-,-,
462,商品属性（値）71,未使用(全行空欄),-,-,-,-,
463,商品属性（単位）71,未使用(全行空欄),-,-,-,-,
464,商品属性（項目）72,未使用(全行空欄),-,-,-,-,
465,商品属性（値）72,未使用(全行空欄),-,-,-,-,
466,商品属性（単位）72,未使用(全行空欄),-,-,-,-,
467,商品属性（項目）73,未使用(全行空欄),-,-,-,-,
468,商品属性（値）73,未使用(全行空欄),-,-,-,-,
469,商品属性（単位）73,未使用(全行空欄),-,-,-,-,
470,商品属性（項目）74,未使用(全行空欄),-,-,-,-,
471,商品属性（値）74,未使用(全行空欄),-,-,-,-,
472,商品属性（単位）74,未使用(全行空欄),-,-,-,-,
473,商品属性（項目）75,未使用(全行空欄),-,-,-,-,
474,商品属性（値）75,未使用(全行空欄),-,-,-,-,
475,商品属性（単位）75,未使用(全行空欄),-,-,-,-,
476,商品属性（項目）76,未使用(全行空欄),-,-,-,-,
477,商品属性（値）76,未使用(全行空欄),-,-,-,-,
478,商品属性（単位）76,未使用(全行空欄),-,-,-,-,
479,商品属性（項目）77,未使用(全行空欄),-,-,-,-,
480,商品属性（値）77,未使用(全行空欄),-,-,-,-,
481,商品属性（単位）77,未使用(全行空欄),-,-,-,-,
482,商品属性（項目）78,未使用(全行空欄),-,-,-,-,
483,商品属性（値）78,未使用(全行空欄),-,-,-,-,
484,商品属性（単位）78,未使用(全行空欄),-,-,-,-,
485,商品属性（項目）79,未使用(全行空欄),-,-,-,-,
486,商品属性（値）79,未使用(全行空欄),-,-,-,-,
487,商品属性（単位）79,未使用(全行空欄),-,-,-,-,
488,商品属性（項目）80,未使用(全行空欄),-,-,-,-,
489,商品属性（値）80,未使用(全行空欄),-,-,-,-,
490,商品属性（単位）80,未使用(全行空欄),-,-,-,-,
491,商品属性（項目）81,未使用(全行空欄),-,-,-,-,
492,商品属性（値）81,未使用(全行空欄),-,-,-,-,
493,商品属性（単位）81,未使用(全行空欄),-,-,-,-,
494,商品属性（項目）82,未使用(全行空欄),-,-,-,-,
495,商品属性（値）82,未使用(全行空欄),-,-,-,-,
496,商品属性（単位）82,未使用(全行空欄),-,-,-,-,
497,商品属性（項目）83,未使用(全行空欄),-,-,-,-,
498,商品属性（値）83,未使用(全行空欄),-,-,-,-,
499,商品属性（単位）83,未使用(全行空欄),-,-,-,-,
500,商品属性（項目）84,未使用(全行空欄),-,-,-,-,
501,商品属性（値）84,未使用(全行空欄),-,-,-,-,
502,商品属性（単位）84,未使用(全行空欄),-,-,-,-,
503,商品属性（項目）85,未使用(全行空欄),-,-,-,-,
504,商品属性（値）85,未使用(全行空欄),-,-,-,-,
505,商品属性（単位）85,未使用(全行空欄),-,-,-,-,
506,商品属性（項目）86,未使用(全行空欄),-,-,-,-,
507,商品属性（値）86,未使用(全行空欄),-,-,-,-,
508,商品属性（単位）86,未使用(全行空欄),-,-,-,-,
509,商品属性（項目）87,未使用(全行空欄),-,-,-,-,
510,商品属性（値）87,未使用(全行空欄),-,-,-,-,
511,商品属性（単位）87,未使用(全行空欄),-,-,-,-,
512,商品属性（項目）88,未使用(全行空欄),-,-,-,-,
513,商品属性（値）88,未使用(全行空欄),-,-,-,-,
514,商品属性（単位）88,未使用(全行空欄),-,-,-,-,
515,商品属性（項目）89,未使用(全行空欄),-,-,-,-,
516,商品属性（値）89,未使用(全行空欄),-,-,-,-,
517,商品属性（単位）89,未使用(全行空欄),-,-,-,-,
518,商品属性（項目）90,未使用(全行空欄),-,-,-,-,
519,商品属性（値）90,未使用(全行空欄),-,-,-,-,
520,商品属性（単位）90,未使用(全行空欄),-,-,-,-,
521,商品属性（項目）91,未使用(全行空欄),-,-,-,-,
522,商品属性（値）91,未使用(全行空欄),-,-,-,-,
523,商品属性（単位）91,未使用(全行空欄),-,-,-,-,
524,商品属性（項目）92,未使用(全行空欄),-,-,-,-,
525,商品属性（値）92,未使用(全行空欄),-,-,-,-,
526,商品属性（単位）92,未使用(全行空欄),-,-,-,-,
527,商品属性（項目）93,未使用(全行空欄),-,-,-,-,
528,商品属性（値）93,未使用(全行空欄),-,-,-,-,
529,商品属性（単位）93,未使用(全行空欄),-,-,-,-,
530,商品属性（項目）94,未使用(全行空欄),-,-,-,-,
531,商品属性（値）94,未使用(全行空欄),-,-,-,-,
532,商品属性（単位）94,未使用(全行空欄),-,-,-,-,
533,商品属性（項目）95,未使用(全行空欄),-,-,-,-,
534,商品属性（値）95,未使用(全行空欄),-,-,-,-,
535,商品属性（単位）95,未使用(全行空欄),-,-,-,-,
536,商品属性（項目）96,未使用(全行空欄),-,-,-,-,
537,商品属性（値）96,未使用(全行空欄),-,-,-,-,
538,商品属性（単位）96,未使用(全行空欄),-,-,-,-,
539,商品属性（項目）97,未使用(全行空欄),-,-,-,-,
540,商品属性（値）97,未使用(全行空欄),-,-,-,-,
541,商品属性（単位）97,未使用(全行空欄),-,-,-,-,
542,商品属性（項目）98,未使用(全行空欄),-,-,-,-,
543,商品属性（値）98,未使用(全行空欄),-,-,-,-,
544,商品属性（単位）98,未使用(全行空欄),-,-,-,-,
545,商品属性（項目）99,未使用(全行空欄),-,-,-,-,
546,商品属性（値）99,未使用(全行空欄),-,-,-,-,
547,商品属性（単位）99,未使用(全行空欄),-,-,-,-,
548,商品属性（項目）100,未使用(全行空欄),-,-,-,-,
549,商品属性（値）100,未使用(全行空欄),-,-,-,-,
550,商品属性（単位）100,未使用(全行空欄),-,-,-,-,
551,自由入力行（項目）1,使用,C,設定・固定値マスター,固定値(SEOキーワード欄の項目名),,カラー
552,自由入力行（値）1,使用,D,AI生成/店舗設定,AI生成 or 固定テンプレ(要方針確認),SEO検索キーワード列挙。AI生成の対象に含めるか要確認,アイボリー Ivory あいぼりー ホワイト White ほわいと 白 シロ しろ 乳白色 ブラック
553,自由入力行（項目）2,使用,C,設定・固定値マスター,固定値(SEOキーワード欄の項目名),,テイスト
554,自由入力行（値）2,使用,D,AI生成/店舗設定,AI生成 or 固定テンプレ(要方針確認),SEO検索キーワード列挙。AI生成の対象に含めるか要確認,おしゃれ かわいい 韓国 大人かわいい 大人可愛い 大人女子 かっこいい シンプル レディース メン
555,自由入力行（項目）3,使用,C,設定・固定値マスター,固定値(SEOキーワード欄の項目名),,カラー
556,自由入力行（値）3,使用,D,AI生成/店舗設定,AI生成 or 固定テンプレ(要方針確認),SEO検索キーワード列挙。AI生成の対象に含めるか要確認,バイカラー くすみカラー ミュートカラー ツートンカラー ニュアンスカラー ダスティカラー スモーキ
557,自由入力行（項目）4,使用,C,設定・固定値マスター,固定値(SEOキーワード欄の項目名),,適応機種
558,自由入力行（値）4,使用,D,AI生成/店舗設定,AI生成 or 固定テンプレ(要方針確認),SEO検索キーワード列挙。AI生成の対象に含めるか要確認,arrows We2 arrowsWe2 アローズWe2 アローズ We2 あろーずWe2 あろーず
559,自由入力行（項目）5,使用,C,設定・固定値マスター,固定値(SEOキーワード欄の項目名),,用途・機能
560,自由入力行（値）5,使用,D,AI生成/店舗設定,AI生成 or 固定テンプレ(要方針確認),SEO検索キーワード列挙。AI生成の対象に含めるか要確認,スマホケース 携帯ケース スマホカバー 携帯カバー TPU ソフトケース ソフトカバー 耐衝撃 衝撃
